CaseNumber,ProductFamily,CaseAge,Priority,Escalated,DateOpened,DateInitialResponse,TimeToInitialResponse,DateEscalated,DaysToEscalate,AverageCSAT
913245,Steelhead,1,P3,0,1/1/18 18:32,1/1/18 18:47,0,,0,4.5
913248,NPCM,16,P1,0,1/1/18 22:46,2/1/18 0:25,1,,0,5
913285,Steelhead,2,P3,0,2/1/18 16:42,2/1/18 20:52,4,,0,4.8
913287,Steelhead,33,P1,0,2/1/18 17:23,2/1/18 22:14,4,,0,3
913297,NPCM,7,P3,0,2/1/18 19:11,2/1/18 19:31,0,,0,4.4
913302,Steelhead,0,P1,0,2/1/18 20:52,2/1/18 21:27,0,,0,5
913332,Steelhead,21,P2,0,3/1/18 0:38,3/1/18 1:13,0,,0,3.4
913361,Steelhead,3,P3,0,3/1/18 2:32,3/1/18 3:05,0,,0,5
913428,NPM,7,P2,0,3/1/18 7:13,3/1/18 7:17,0,,0,5
913511,Steelhead,5,P2,0,3/1/18 19:35,3/1/18 21:02,1,,0,4.6
913517,Steelhead,1,P2,0,3/1/18 20:04,3/1/18 21:14,1,,0,5
913550,Steelhead,2,P4,0,3/1/18 23:18,3/1/18 23:21,0,,0,4.75
913569,Steelhead,14,P2,0,4/1/18 1:02,4/1/18 1:17,0,,0,5
913628,Steelhead,0,P4,0,4/1/18 3:31,4/1/18 3:34,0,,0,5
913676,Steelhead,26,P2,0,4/1/18 6:33,4/1/18 6:36,0,,0,4.8
998593,Steelhead,14,P3,0,4/1/18 10:29,4/1/18 18:58,8,,0,5
1051562,Steelhead,5,P4,0,4/1/18 20:39,4/1/18 20:42,0,,0,4.8
1051589,Steelhead,19,P4,0,4/1/18 23:04,5/1/18 1:12,2,,0,4.8
1051624,Steelhead,55,P3,0,5/1/18 1:47,5/1/18 5:46,3,,0,5
1051646,Steelhead,4,P3,0,5/1/18 2:39,5/1/18 2:42,0,,0,4.8
1051676,Steelhead,11,P3,0,5/1/18 3:44,5/1/18 3:55,0,,0,2.2
1051679,NPM,27,P2,1,5/1/18 3:49,5/1/18 3:53,0,9/1/18 2:29,3,4.6
1051720,Steelhead,1,P3,0,5/1/18 6:04,5/1/18 6:43,0,,0,5
1051744,APM,8,P2,0,5/1/18 7:24,5/1/18 7:49,0,,0,3
1051811,APM,11,P2,0,5/1/18 14:04,5/1/18 14:17,0,,0,5
1051848,Steelhead,0,P4,0,5/1/18 19:21,5/1/18 19:45,0,,0,5
1051854,Steelhead,18,P2,0,5/1/18 19:52,5/1/18 20:53,1,,0,4
1051888,Steelhead,0,P3,0,5/1/18 22:35,6/1/18 2:48,4,,0,5
1051902,Steelhead,24,P3,0,5/1/18 23:23,6/1/18 4:52,5,,0,4.8
1051938,Steelhead,28,P2,0,6/1/18 1:23,6/1/18 2:21,0,,0,5
1051965,Steelhead,6,P4,0,6/1/18 2:16,6/1/18 2:56,0,,0,5
1051978,Steelhead,5,P4,0,6/1/18 2:46,6/1/18 2:48,0,,0,5
1052004,Steelhead,41,P2,0,6/1/18 4:14,9/1/18 2:33,22,,0,4.2
1052005,Steelhead,0,P4,0,6/1/18 4:15,6/1/18 5:06,0,,0,4
1052048,APM,5,P2,0,6/1/18 6:00,6/1/18 6:33,0,,0,3.8
1054180,Steelhead,20,P1,0,8/1/18 1:40,8/1/18 1:49,0,,0,4
1054184,Steelhead,25,P4,1,8/1/18 3:44,8/1/18 3:47,0,9/1/18 5:19,1,4.6
1054248,APM,14,P2,1,8/1/18 17:26,8/1/18 17:43,0,8/1/18 19:06,0,4.2
1054291,Steelhead,58,P3,0,8/1/18 20:35,8/1/18 21:13,0,,0,5
1054304,NPM,4,P1,1,8/1/18 21:16,8/1/18 21:27,0,10/1/18 2:15,1,4.2
1054321,APM,0,P2,0,8/1/18 22:33,8/1/18 23:38,1,,0,4.75
1054375,Steelhead,7,P2,0,9/1/18 1:36,9/1/18 2:58,1,,0,4.2
1054412,Steelhead,21,P1,0,9/1/18 2:50,9/1/18 3:01,0,,0,5
1054484,Steelhead,0,P4,0,9/1/18 5:48,9/1/18 5:51,0,,0,5
1054499,Steelhead,9,P2,0,9/1/18 6:25,9/1/18 6:33,0,,0,5
1054512,APM,35,P1,0,9/1/18 6:54,9/1/18 7:11,0,,0,5
1054581,APM,1,P3,0,9/1/18 9:48,10/1/18 1:34,15,,0,4.6
1054583,Steelhead,142,P2,0,9/1/18 9:59,9/1/18 10:04,0,,0,2.5
1054688,NPM,13,P2,0,9/1/18 20:12,9/1/18 20:59,0,,0,3.8
1054749,Steelhead,21,P4,0,9/1/18 23:40,10/1/18 18:48,19,,0,5
1054774,Steelhead,6,P2,0,10/1/18 1:09,10/1/18 6:37,5,,0,5
1054821,NPM,2,P3,0,10/1/18 2:29,10/1/18 4:39,2,,0,4.8
1054828,Steelhead,13,P3,0,10/1/18 2:38,10/1/18 2:42,0,,0,5
1054989,Steelhead,7,P3,0,10/1/18 7:20,10/1/18 7:56,0,,0,4.8
1055083,Steelhead,1,P4,0,10/1/18 13:26,10/1/18 13:37,0,,0,5
1055105,Steelhead,215,P2,1,10/1/18 15:15,10/1/18 15:23,0,6/2/18 3:16,26,4.8
1055112,Steelhead,0,P1,0,10/1/18 16:22,10/1/18 16:25,0,,0,5
1055123,Steelhead,1,P4,0,10/1/18 18:35,10/1/18 18:43,0,,0,5
1055124,NPCM,1,P3,0,10/1/18 18:57,10/1/18 19:20,0,,0,4.2
1055174,Steelhead,446,P3,1,10/1/18 22:00,11/1/18 6:48,8,23/1/18 12:16,12,5
1055213,Steelhead,5,P2,0,10/1/18 23:56,11/1/18 2:58,3,,0,5
1055270,Steelhead,0,P4,0,11/1/18 1:59,11/1/18 2:17,0,,0,4.4
1055301,NPM,0,P3,0,11/1/18 2:44,11/1/18 5:48,3,,0,5
1055361,APM,0,P2,0,11/1/18 4:44,11/1/18 5:01,0,,0,4.4
1055465,Steelhead,12,P3,0,11/1/18 9:13,11/1/18 9:14,0,,0,4.8
1056074,Steelhead,83,P2,1,11/1/18 12:58,11/1/18 13:01,0,11/1/18 17:43,0,4
1056081,Steelhead,0,P3,0,11/1/18 13:17,11/1/18 13:31,0,,0,4.4
1056142,Steelhead,3,P3,0,11/1/18 18:52,11/1/18 19:28,0,,0,5
1056150,Steelhead,4,P4,0,11/1/18 19:16,12/1/18 1:23,6,,0,5
1056166,Steelhead,13,P4,0,11/1/18 20:37,12/1/18 3:49,7,,0,4
1056198,Steelhead,5,P2,0,11/1/18 22:16,11/1/18 23:31,1,,0,4
1056215,APM NPM,8,P2,0,11/1/18 22:51,12/1/18 3:01,4,,0,4.8
1056244,Steelhead,1,P2,0,11/1/18 23:58,12/1/18 0:05,0,,0,4.4
1056281,NPM,1,P2,0,12/1/18 0:55,12/1/18 1:12,0,,0,5
1056284,NPM,21,P1,1,12/1/18 0:56,12/1/18 1:05,0,24/1/18 3:53,12,4.2
1056285,Steelhead,75,P2,0,12/1/18 0:57,12/1/18 1:00,0,,0,3.6
1056309,Steelhead,12,P2,0,12/1/18 1:40,12/1/18 2:05,0,,0,4
1056326,SteelConnect,0,P2,0,12/1/18 2:21,12/1/18 4:47,2,,0,3.5
1056478,NPM,1,P4,0,12/1/18 7:54,12/1/18 8:36,0,,0,5
1056546,Steelhead,17,P2,0,12/1/18 12:32,12/1/18 12:49,0,,0,4.8
1056572,NPM,11,P3,0,12/1/18 14:52,12/1/18 16:57,2,,0,5
1056586,NPM,1,P4,0,12/1/18 16:26,12/1/18 16:49,0,,0,5
1056704,NPM,14,P2,0,13/1/18 0:50,13/1/18 0:50,0,,0,5
1056920,NPM,3,P3,0,13/1/18 9:13,13/1/18 10:20,1,,0,5
1056952,Steelhead,0,P2,0,13/1/18 13:37,13/1/18 14:26,0,,0,5
1057014,Steelhead,38,P2,0,14/1/18 23:46,15/1/18 0:09,0,,0,5
1057042,Steelhead,15,P2,0,15/1/18 11:32,15/1/18 12:32,1,,0,5
1057097,Steelhead,8,P2,0,15/1/18 16:39,15/1/18 18:24,1,,0,5
1057127,Steelhead,9,P2,0,15/1/18 19:27,15/1/18 20:00,0,,0,5
1057134,Steelhead,22,P3,0,15/1/18 19:41,15/1/18 21:00,1,,0,3.6
1057191,APM,4,P2,0,15/1/18 23:02,16/1/18 0:25,1,,0,4.2
1057220,NPM,18,P2,0,16/1/18 0:23,16/1/18 1:06,0,,0,4.2
1057221,NPM,7,P4,1,16/1/18 0:23,16/1/18 0:33,0,17/1/18 2:42,1,5
1057289,Steelhead,0,P3,0,16/1/18 2:40,16/1/18 2:47,0,,0,3.8
1057318,APM NPM,0,P4,0,16/1/18 3:41,16/1/18 3:51,0,,0,4.6
1057357,Steelhead,1,P2,0,16/1/18 5:19,16/1/18 5:34,0,,0,4
1057387,Steelhead,1,P2,0,16/1/18 6:38,16/1/18 7:08,0,,0,4
1057399,Steelhead,65,P2,0,16/1/18 7:47,16/1/18 9:49,2,,0,5
1057494,NPM,4,P4,0,16/1/18 16:07,16/1/18 16:28,0,,0,5
1057535,Steelhead,2,P3,0,16/1/18 19:54,17/1/18 1:28,5,,0,4.2
1057551,Steelhead,7,P3,0,16/1/18 20:35,16/1/18 22:40,2,,0,5
1057573,Steelhead,49,P2,0,16/1/18 21:55,16/1/18 22:58,1,,0,4.8
1057616,APM NPM,23,P2,0,17/1/18 0:07,17/1/18 0:10,0,,0,3.2
1057785,Steelhead,27,P2,0,17/1/18 7:12,17/1/18 7:35,0,,0,4.6
1057811,Steelhead,7,P2,0,17/1/18 8:02,18/1/18 1:24,17,,0,5
1057918,Steelhead,14,P1,0,17/1/18 16:52,17/1/18 16:54,0,,0,5
1057952,SteelConnect,0,P3,0,17/1/18 20:22,17/1/18 20:37,0,,0,4
1057954,Steelhead,5,P3,0,17/1/18 20:25,23/1/18 7:51,11,,0,5
1057999,SteelConnect,0,P3,0,17/1/18 22:59,17/1/18 23:09,0,,0,4
1058021,Steelhead,1,P1,0,18/1/18 0:06,18/1/18 0:11,0,,0,4.8
1058061,Steelhead,7,P2,0,18/1/18 1:41,18/1/18 1:43,0,,0,5
1058096,Steelhead,0,P3,0,18/1/18 2:49,18/1/18 3:06,0,,0,5
1058136,NPM,34,P3,1,18/1/18 3:53,18/1/18 4:01,0,25/1/18 6:20,7,5
1058194,APM,29,P3,1,18/1/18 5:59,18/1/18 5:59,0,25/1/18 1:40,6,4.6
1058219,APM,1,P4,0,18/1/18 7:16,18/1/18 8:16,1,,0,5
1058265,Steelhead,1,P3,0,18/1/18 9:30,18/1/18 10:21,0,,0,5
1058317,Steelhead,0,P4,0,18/1/18 14:33,18/1/18 15:08,0,,0,5
1058376,NPM,77,P1,1,18/1/18 20:53,18/1/18 21:11,0,23/1/18 5:01,4,4.4
1058477,NPM,0,P4,0,19/1/18 1:32,19/1/18 1:49,0,,0,4.8
1058492,NPM,6,P3,0,19/1/18 2:02,20/1/18 2:35,0,,0,5
1058518,APM,0,P3,0,19/1/18 2:42,19/1/18 7:46,5,,0,4.2
1058526,Steelhead,33,P3,0,19/1/18 2:56,19/1/18 4:19,1,,0,5
1058636,NPM,1,P4,0,19/1/18 6:48,19/1/18 8:25,1,,0,4.6
1058776,Steelhead,1,P4,0,19/1/18 10:34,19/1/18 14:15,3,,0,4.8
1058813,Steelhead,7,P1,1,19/1/18 13:40,19/1/18 14:16,0,19/1/18 18:00,0,4
1058923,APM,10,P2,1,20/1/18 0:42,20/1/18 1:12,0,20/1/18 8:19,0,5
1058967,Steelhead,4,P3,0,20/1/18 2:26,20/1/18 4:19,1,,0,5
1059107,APM,0,P1,0,20/1/18 8:29,20/1/18 8:33,0,,0,5
1059160,APM,35,P2,1,20/1/18 17:32,20/1/18 17:52,0,25/1/18 17:05,4,5
1059169,NPM,0,P3,0,20/1/18 21:06,,4,,0,4
1059245,Steelhead,7,P3,0,22/1/18 11:16,22/1/18 16:48,5,,0,4.6
1059294,Steelhead,5,P3,0,22/1/18 17:54,23/1/18 1:12,7,,0,4.2
1059312,Steelhead,1,P4,0,22/1/18 18:59,22/1/18 23:42,4,,0,5
1059334,Steelhead,3,P1,0,22/1/18 20:08,22/1/18 20:17,0,,0,4.6
1059392,NPCM,8,P3,0,22/1/18 23:22,23/1/18 0:37,1,,0,5
1059602,SteelConnect,6,P3,1,23/1/18 8:06,24/1/18 3:15,19,24/1/18 3:13,0,4
1059617,Steelhead,1,P4,0,23/1/18 9:01,23/1/18 18:38,9,,0,4.8
1059702,Steelhead,9,P4,0,23/1/18 14:33,23/1/18 19:35,5,,0,4.8
